Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2764","Poissons Marins, Autres","2017","2017","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2765","Crustacés","2017","2017","kg","0.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2765","Crustacés","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2765","Crustacés","2017","2017","g/personne/jour","0.07","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2765","Crustacés","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2766","Cephalopodes","2017","2017","kg","0.06","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2766","Cephalopodes","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2766","Cephalopodes","2017","2017","g/personne/jour","0.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2766","Cephalopodes","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2767","Mollusques, Autres","2017","2017","kg","0.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2767","Mollusques, Autres","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2767","Mollusques, Autres","2017","2017","g/personne/jour","0.01","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2767","Mollusques, Autres","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2769","Animaux Aquatiques Autre","2017","2017","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2769","Animaux Aquatiques Autre","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","2775","Plantes Aquatiques","2017","2017","kg","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","664","Disponibilité alimentaire (Kcal/personne/jour)","2775","Plantes Aquatiques","2017","2017","Kcal/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2775","Plantes Aquatiques","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
